Reply,Code,final code,classifier_label,matched_category,actual_binary,predicted_binary
Remove the head and you would go from a 2 to a 7,3g,,non-misogynistic,,3,0
"What. A. Loser. 😂😂😂 Ass falling off the bone from a bad BBL, having a kid with a dude that didn’t want her. You are a disgrace and you need to close your legs.",2b,,non-misogynistic,,2,0
"Is she even that fine 
The hype wey una Dey give her for this app eeh 
She is cosmetic beauty not natural.",3g,,non-misogynistic,,3,0
Why this look AI how your arms get so thin,3e,,non-misogynistic,,3,0
That's your name sweetie?,3c,,non-misogynistic,,3,0
Cardi B is fine but classless.,3d,,non-misogynistic,,3,0
Taken off the bbl yet?,3g,,non-misogynistic,,3,0
You called a child slow... That's how you want to be treated btch. Don't worry your Karma will be so loud and I will be say for it,2a,,non-misogynistic,,2,0
"See this btch... The be getting in ya head. Just soon enough your real colours will be out in the open, keep cosplaying for them mfs
",2a,,non-misogynistic,,2,0
Who wrote this? 🤣🤣🤣 We know it wasn’t you!,3b ,,non-misogynistic,,3,0
"Cardi B is always crying about respect while she disrespects everyone—especially law enforcement and this country. Sad! Maybe the arena staff was just tired of the drama. Get over it and focus on your show, Cardi. MAGA!",3d,,non-misogynistic,,3,0
"This how did not write this. She can't spell or read, and I doubt she really understands what any of this means.",3f,,non-misogynistic,,3,0
Girl stfu and be direct atp. You not ANY better. Dweeb all that sneaking and snaking gone have you worse off. 💋-LEX,2c,,non-misogynistic,,2,0
Yo ass did KNOT write this I’m ctfu😭😭💀,3b,,non-misogynistic,,3,0
"Stop posting shit that someone else wrote for you. You did exactly what this post said you shouldn’t do, plus more. So now that the Outta Spite Tour is over, you can take your dumb ass back to school to re-enter second grade.",3b,,non-misogynistic,,3,0
So you demand to be drugged and robbed? Thrown shoes at? Hired men to beat you up? Okay got it. Bum.,2d,,non-misogynistic,,2,0
"Girl, we don’t care get your fat ass on stage!",3a,,non-misogynistic,,3,0
Not the mother of monkeys and roaches talking about kindness and respect gguess who is a pussy ass?,2,2.0,non-misogynistic,,2,0
Pls never get that many tattoos ,3,3.0,non-misogynistic,,3,0
Girl stop editing your pics you don’t look like this fr😭,3,3.0,non-misogynistic,,3,0
looking more manlier than ever ,2,2.0,non-misogynistic,,2,0
"Megan why are you spoiling your beautiful skin with tattoos even on your neck too? 
It’s doesn’t make you look good",3,3.0,non-misogynistic,,3,0
"If i knew you would be in it i would burn my eyes before watching it ,gonna begin research everytime i wanna watch something to keep your freak ass lying big horse feet away from this eyes, ewwww ,",3,3.0,non-misogynistic,,3,0
Don't get any ideas with these fake tattoos. Do not mess your body up.,3,3.0,non-misogynistic,,3,0
Chopped asf 😭😭 go to da stables ma,3,3.0,non-misogynistic,,3,0
Have you watched your weight yet?,3,3.0,non-misogynistic,,3,0
no you looked a fucking mess in the trailer,3,3.0,non-misogynistic,,3,0
"Whoever told you neck tatoo was cute lied to you

Take it out",3,3.0,non-misogynistic,,3,0
"What's with the 'I think im pregnant pose""? Klay bussin in it. Hmmmmm? 🤔🧐
",2,2.0,non-misogynistic,,2,0
Say free Tory no matter how much hurt and don’t act like you never had his stick in,"2, 3",,non-misogynistic,,2,0
Bigfoot you look a mess.,3,3.0,non-misogynistic,,3,0
"@grok
 why is she dressed like that",3,3.0,non-misogynistic,,3,0
"How many layers of make-up 😭
",3,3.0,non-misogynistic,,3,0
Lookin trans,"2, 3",,non-misogynistic,,2,0
🖤👉🍆,2,2.0,non-misogynistic,,2,0
