Reply,Code,Post,final code,classifier_label,matched_category,actual_binary,predicted_binary
Go to Mandir nasty 🤢 bitch,2a,,,misogynistic,2a_gendered_slur (matched: 'bitch'),2,1
You're 5 for 5 on being a war loving AIPAC whore.,2a,,,misogynistic,2a_gendered_slur (matched: 'whore'),2,1
"US tech is falling behind, the Chinese are beyond US now. Your fear mongering, corruption and wars is destroying real advances. Now you cry like a little bitch blaming everyone but yourselves.",2a,,,misogynistic,2a_gendered_slur (matched: 'bitch'),2,1
china doesn't need to steal or buy anything from US. Chinese are way smarter than dumbass americans like you and can build invent innovate everything better faster cheaper than evil and corrupt hubristic US. so shut the fuck up you evil witch who sign bombs to kill women and kids,2a,,,misogynistic,3b_assumed_incompetence (matched: 'dumbass'),2,1
"Attack the argument, not the person.

I could call you a sexy little retard, but that wouldn’t be a good argument.",2,,2.0,misogynistic,3b_assumed_incompetence (matched: 'retard'),2,1
I can't help but reading yours in a r3tards voice,3f,,,misogynistic,3b_assumed_incompetence (matched: 'retards'),3,1
"Okay, donkey…",3g,,,misogynistic,3g_appearance_attack (matched: 'donkey'),3,1
I read yours in Dora the explorer of she were dumb.,3f,,,misogynistic,2c_gender_combo: she + dumb,3,1
Can't help but read your tweets in the retarded cunt voice.,3f,,,misogynistic,2a_gendered_slur (matched: 'cunt'),3,1
"AOC, honey, people loved the movie Office space and they loved Dwight! So what the fuck are you trying to illustrate? Are you really that stupid? I think you are! Maybe go back to the LEARING center and find out where your degree is",3e,,,misogynistic,3c_infantilizing (matched: 'honey'),3,1
"You are a big part of the problem women, women, women you’re too emotional to be in power",2c,,,misogynistic,2c_gendered_intellectual_inferiority (matched: 'too emotional'),2,1
"Afraid to go into your District Missy? Thought you represent Bronx, Queens which have turned into *trash* because of your neglect.",3,,3.0,misogynistic,3c_infantilizing (matched: 'missy'),3,1
People are on the streets throwing bombs. I'm glad you had a beautiful day......retard.,3,,3.0,misogynistic,3b_assumed_incompetence (matched: 'retard'),3,1
"Yeah, I just think how many people you could’ve put to work in the Amazon fulfillment center. What an idiot.",3,,3.0,misogynistic,3b_assumed_incompetence (matched: 'what an idiot'),3,1
Go back to bartending you twit.,3,,3.0,misogynistic,2a_gendered_slur (matched: 'twit'),3,1
you Couldn't Share Anything about New York you Don't Live there Anymore and your A F_cking Moron.,3,,3.0,misogynistic,3b_assumed_incompetence (matched: 'moron'),3,1
Who cares especially nobody is paying attention of you we got bigger fish to fry and meanwhile you can’t even act your age or you have a IQ keep playing silly donkey,3,,3.0,misogynistic,3g_appearance_attack (matched: 'donkey'),3,1
"2 politicians equal working people? fuck me running. I don't have months of vacation, multi rich from secret sources, lifetime pension, and hundreds of staffers working for me. how about a ham sammich, sweetheart?",3,,3.0,misogynistic,3c_infantilizing (matched: 'sweetheart'),3,1
So he's like your boyfriend now? What a slut.,2,,2.0,misogynistic,2a_gendered_slur (matched: 'slut'),2,1
Which animal are you ?,3,,3.0,misogynistic,3g_appearance_attack (matched: 'which animal are you'),3,1
Did you serve them drinks?  You know… the only thing you are qualified to do.,3,,3.0,misogynistic,3b_assumed_incompetence (matched: 'serve them drinks'),3,1
Translation: BEND OVER,3,,3.0,misogynistic,2b_sexual_attack (matched: 'bend over'),3,1
Not a peep out of you attention whores about the Iranian female soccer players who will probably face persecution when they go back home from Australia 🖕,2,,2.0,misogynistic,2a_gendered_slur (matched: 'whores'),2,1
"Ok, barkeep",3,,3.0,misogynistic,3b_assumed_incompetence (matched: 'barkeep'),3,1
You are clueless.  Shut up,3,,3.0,misogynistic,3b_assumed_incompetence (matched: 'you are clueless'),3,1
so what.  please pass a voter ID law.  And make me a Margarita.  Thanks,3,,3.0,misogynistic,3b_assumed_incompetence (matched: 'make me a margarita'),3,1
apples ??  you made AMAZON duck out .. you dumb  twat,2,,2.0,misogynistic,2a_gendered_slur (matched: 'twat'),2,1
Your an idiot Alexandria!,3,,3.0,misogynistic,3b_assumed_incompetence (matched: 'idiot'),3,1
the donkey has spoken.,3,,3.0,misogynistic,3g_appearance_attack (matched: 'donkey'),3,1
Tas bien fea Alexandria,3,,3.0,misogynistic,3g_appearance_attack (matched: 'fea'),3,1
"The ultimate HOE trash. 

You could probably say an INCREDIBLE role model for young Americans too, right?……..🤡🤡🤡

Nothing but ghetto fcking TRASH.",2a,,,misogynistic,2a_gendered_slur (matched: 'hoe'),2,1
