Reply,Code
Aren’t you Indian and worship a blue demon monkey god?,1
Happy Easter!✝️🙏🏻,0
Happy Easter to you and your family!,0
Happy Easter to all the Christians from India ❤️.,0
Except of course if you are black Latino Jewish Muslim or democrat,1
Happy Easter🐣,0
Jesus is against war and suffering! Jesus will not listen to warmongers!,1
don't take no dirty money gir! 2028,0
"If you wanted peace, you be pushing more to stay out of war. Fraud.",1
And Bomb the heathens; hypocrite.,1
Same to you Nikki! We love ❤️ you!🙏🇺🇸🙏,0
Happy Easter to you and your family. Please wish your son also,0
Thank You,0
Peace?? Gaza killing innocent civilians & Children,0
Happy Easter!,0
😈,0
Your president is a Mad man,1
Is that why it is important to bomb Iran and its people back to the stone age.,1
STFU you disgrace,1
Happy Easter RINO!!!,3g
Shut up you fraud,3d
"Happy Easter to you Nikki..
More grace in abundance..

From Emmanuel",0
Happy Easter!,0
Go to Mandir nasty 🤢 bitch,2a
"Amen!

Wishing all my Christian brothers and sisters a Happy Easter!",0
FUCK YOU! YOU WORSHIP tRUMP!,1
Happy Easter,0
You went from Never Trumper to one of the biggest boot lickers. How do you sleep at night?,1
Rubio/Haley 2028,0
Nice,0
"Happy Easter Nikki, hope it’s a good one",0
Another lame right wing loser using Jesus to manipulate voters.,1
Where are the Epstein Files?,0
Did you suck Donald Trump's little mushroom pee pee?,2b
❤️🙏,0
Happy Easter 🙏,0
"And all those innocent Iranian school girls who were murdered .. those were his children too so good luck explaining that on your way down to hell 
@NikkiHaley",1
More fake Christian’s,1
"Fuck Israel.
Epstein.",0
Jesus never existed.,0
"Thank you, Nikki, and wishing you those same blessings.",0
Thanks. Shalom.,0
Go Back To College. 🌐☑️,3f
🙏🙏🙏,0
Narmrita randhawa.,0
It should be a reminder of how evil those who set currency value are.,0
Happy Easter Ms. Haley to you and your family!,0
After what you just said on CNN???? GO FUCK your self. What a douche. Is it for money or do you have PEDO PALS TOO???,1
Did your God tell you that there are nuclear weapons far away and order you to kill 1 million innocent civilians?,1
"As Americans we've recently for the first time in a long time, had the good fortune to experience 2 events that United us as a Nation

America launched astronauts in to space.

Because of who we are as a people,  our nation can do amazing achievements when we work together.   The can do spirit,  the ingenuity,  and industriousness that happens when we unite I common cause are astonishing.

We miraculously rescued one our pilots shot down in the service of our country.

The United States values life and especially the lives of our people.  We as a people, generally  care about each other.   Because of this we leave no soldier behind and go to great lengths to protect those who serve our country.

These are the qualities that truly make us great!

Let's use this momentum to refocus on what we have in common,   ...  instead of our differences

None of us are perfect,  understanding,  accepting and embracing our differences is what makes us unique in this world and makes us great.

We all have different ideas on how to solve issues and make the world a better place,  if we work together,  we will find the best ways.

United,  We Stand.  
God Bless America",0
Funny and you support war and Israel. I am sure Jesus wouldnt love you at all,1
"Why is Matthew 18:11 missing from newer translations of the Bible?

“For the Son of man is come to save that which was lost.”

Matthew 18:11 (KJV)",0
"Last time I checked Iran still is bombing the fuck out of ""JESUS"" LAND"" this is fake news..",1
🙏🏿🙏🏿🇺🇸✌️,0
Happy Easter Jesus is no longer in the grave,0
"“Where, O death, is your victory?
Where, O death, is your sting? The sting of death is sin, and the power of sin is the law. But thanks be to dGod! FHe gives us the victory through our Lord Jesus Christ” - 1 Corinthians 15:55–57 

Happy Easter!!",0
🙏🙏🙏,0
Sounds like the airline is personally invested in your patience training program… 5 for 5 is impressive. 😂✈️,0
I’ve not had any delays on my last 5 or 6 trips from Chicago-MDW on SWA.,0
I’m 2 for 2 no problems at all.   Denver to St. Louis and back.   5 minutes in Denver and 5 seconds in St. Louis.,0
"The worst you can imagine - then Xs that by 100.

Asked and answered.",0
"Well, without Islam and Muslims, we would have no airport security checks. Period.",1
You supported this by supporting the gestapo,1
You don’t know or just bring stupid?,3f
Is this the part where you pretend you don't fly private ? Lol,1
"Dang I am 6 for 6 mostly on time 
But flying out of MCO, which tends to not have major issues",0
"Flew Breeze from CHS to JFK from 3/14 to 3/18.  No TSA lines and no flight delays either way.
Flew CHS to Newark 3/24 on United.  No TSA lines and no delays.  
Flew from Stewart, NY to CHS on 3/27.  No TSA line but a 3.5 hour flight delay on Breeze.",0
You're 5 for 5 on being a war loving AIPAC whore.,2a
No problems flying to Florida via ATL many times,0
Had a mechanical issue that delayed flight but everything else this year including during shutdown great.,0
"I've had no problems at all, but haven't flow since Friday morning (IAD to AUS)",0
"flown each of the last 6 weeks... had delays with storms, but been pretty normal for me, minus some extra TSA waits for first flights out. 

i'll let you know if that changes for my 6am tomorrow 🤦‍♂️",0
No issues at all.,0
Shut up you fraund,3
Sitting on a plane now that is delayed out of O’Hare. Security has been good but I have pre check and clear.,0
Ask Secretary of Transportation Sean Duffy why things are so screwed up since he took over!,0
It’s been this way for years now. I fly every week.,0
Smooth travel through MIA checkpoint for an international flight.  Only a short wait in TSA Pre line. TSA agents looked tired but did a great job and treated everyone with respect.,0
Sitting on the runway right now.  1 hour runway delay.  RNO->LAS,0
"It may be personal, Nimmy",0
Cleveland has been smooth.  TSA 15-30 min and flights all on time.  That’s not to say the issue isn’t there but in cle it’s been good.,0
Good luck with that,0
"Glad you asked and everyone answered ""Not a problem at all""
Didn't go the way you expected",1
Go back to sleep Nikki,99
Denver was easy,0
Does the Republican Party have a schedule for licking the ass of Führer Trump? Or do you have a mandatory number of hours of licking the ass of a pedophile? Have you already done your quota of hours?,1
Keep in mind weather.,0
Good. You deserve it,1
Maybe you shouldn’t have enabled the current situation.,1
"Ma’am, let me know when you see the next  SMILE walking thru an airport. The entire experience is so arduous and unfriendly nowadays .",0
It’s been shitty for quite a while,0
You voted for that. #votebluenexttime,
But you still support Trump. How far you have fallen.,1
Blame your old boss Trump.,1
Just returned from Nashville. No problem.,0
1/4 delay but overall not bad at all,0
Well you can blame your party for that,1
"I'm 2 for 2, no real difference than non-shutdown times.",0
"China’s rise is driven by massive investment, talent, and relentless innovation—not slogans. That’s why it competes at the top.",0
"When you can’t compete, ban them. When you can’t even ban them, call them stealing… let’s see how low America can descend to.",0
"They’re also far smarter, watching the stupid war drain the American arms and know they can now take Taiwan and there’s fuck all USA can do. ( stopping the chips required at the very least for military dominance) they didn’t fire a fucking bullet ! The stupidity of this admin,  is worse than a circus, it’s a knee jerk set of mafioso grifters and the American people and whole western world are waiting it out… December he will be gone and his idiot, short-sighted sycophants, will follow ..",1
"I just got back from there. China already has the most powerful technology edge in history.

I wish them well with it.

God knows they don't slaughter as many people around the world and around the clock as the United States does.",0
"Blaming China is not an AI strategy.
America wins by outbuilding, out-innovating, and out-educating-not by turning every technology debate into a campaign slogan.
You and some irresponsible politicians are the real danger by helping the US forget how to lead.",0
"If you bothered to review the literature, you would know that Chinese researchers are incredibly prolific in the AI space. I will leave the debate about stealing tech in other areas to someone else, but in AI, China is a prime player.",0
Or you could just do like Trump is doing and cut their legs off completely.,0
"Lady, get real! We can’t build fighter jets. They all made of 🇨🇳 made components. We cannon produce our pharmaceuticals and rely on China to supply.",0
"China steals? That's rich coming from a country built on stolen land and stolen labor. You're not protecting tech – you're protecting your monopoly on overpriced, mediocre garbage. China out-publishes, out-invents, and out-competes you. Theft is just what losers call competition.",1
Ya right.. ! China built the 6th generation fighter jets which the US ONLY have it on PowerPoint!!!,0
How much in denial are you going to get?  The last us secretary of energy was a professor named Chu.  The father of the standard model of partical physics is call Yang.  The Chinese are just smarter than u.  Their despora are learning everything they get their hands on.,0
"but, let's be honest, sometimes Israel steals it from the US and sells it to China",0
I'm cool with it. I'm not cool with people hoarding knowledge and creating nonsense proprietary stuff that limits progress.,0
"Victim mentality again. Hatred and campaign opportunity don't always work - especially against China. Try what US used to be good at. it is called competition and try to beat it, and offer it to ordinary people at fair price.",0
"Would you consider banning all Chinese apps first? At least it would be a starting point. They don’t allow many U.S. apps in their country, so why can’t the U.S. do the same?",0
"Everyone focuses on what China is stealing. 
Fewer ask why we keep making it so easy to take.  It's a system design problem, so who benefits from keeping it that way?",0
"Lmao the American regime cannot compete without crying like an overgrown baby. Compete or fizzle out. Wait until the world stops trading with the dollar as a global currency, then y'all will see the American regime for what it truly is, a 3rd world with nukes.",0
"You really should visit China. It's lightyears ahead of the US. The US can't even manufacture at half the pace of China. As for stealing shit, yal have been stealing land, people's lives and other nations  minerals. You don't get to talk about theft of anything😵‍💫
'",0
"As if America invented the Jet Engine, You didn't.. You stole it as well. So stop lying..
",0
"Research the j36 Chengdu and tell me whats so ""American "" about it.",0
Yeah sure lady 🤡.  China stealing tech we dont even have.,3d
"Whatever advances US think they have might be just delusional. China has more scientists & engineers than the US, or even Europe to develop & advance any technology they need. And they’re run by forward thinking leaders.
POTUS Trump is not exactly the brightest star in the sky.",0
"Wait..
You stole gunpowder from the Chinese?
Chinese food?
You and your colleagues sent our jobs and factories to China?
STFU.",1
"Chinese have infiltrated the US system like termites, they are everywhere, they are in Universities, Big Defence manufacturing companies, stealing every research & then labelling as their own.",0
#China is 10 Years Ahead of #USA and does not need to steal anything. All these Anti #China #Russia #Iran fake propaganda the #American Politicians peddle to bullshit and lie to make us believe that they are protecting us against imaginary enemies created by #JewControlledMedia.,0
Yet both parties signed off on allowing American companies to send as many jobs to China as possible. Spare me the faux outrage.,1
"I'd be more concerned about brain drain. If the American Dream is not achievable, then our inability to attract and retain talent will be our undoing. 

Also... NATIONAL DEBT!",0
😂…… when an Indian accusing the Chinese for being wut 😱,1
"these are the arguements of last century. their time has long gone and they are worthless, now. investing only in finance and enjoying the exploitation was the sweetest thing and it's payback time.",0
AI IS theft. What are you going to do about the wholesale theft of valuable IP by the tech companies?,0
"You lot have been exploiting and taking from the rest of the world since you came into existence. You’re an empire, that’s what empires do. You just hate having to share the cake. The world now sees what you are. Genocidal, greedy beast of a country.",0
"Oh look flaky Americans scared of competition are back. The gap that was built on the back of chinese talent is being used as hegemony against their own civilisations. The gap is filling, and the US is scared of competition. East is calling",0
"What tech? Your most advanced chips exist because of imec and ASML, both European corporations, Intel, AMD, Nvidia, would be ZERO without Europe and Taiwan. 

And let me remind you how USA stole European and Asian tech post WWII and how it drained those regions of brainpower.",0
"1.Chinese people can't steal what you don't have.  
2.The more American politicians accuse others, the more it reflects what they themselves are actually doing.",0
