Reply,Code
face card tea asf!,0
You so fine bardi 😍,0
"Face card 😍
",0
Cute Cardi ❤️,0
I’m Pretty and I’m petty AF 😘😘,0
Ms. Almanzar if ya nasty.,0
What's your rate and Cashapp tag?,0
My Queen!!!!!!!!,0
Cardiiii offset good now?,0
So so beautiful 😍,0
You look so good makes me forget about all the other shit,0
A gorgeous hun,0
Queen,0
"Photo Shoot Time 

The Walking Billboard 

@JaeMetaX",0
🥹,0
💞,0
Looking good,0
the wife ✨,0
So beautiful 😍😍😍,0
￼😍😍😍,0
Remove the head and you would go from a 2 to a 7,3g
"Belcalis (Cardi B) is proof that staying real, confident, and unapologetically yourself is the reall powerr 🖤🔥",0
Boobs so clean 🫧,99
These bitches copy my flow but can’t copy my glow✨,0
what a WOMAN. we love you so bad mama !! 🖤🖤,0
"What. A. Loser. 😂😂😂 Ass falling off the bone from a bad BBL, having a kid with a dude that didn’t want her. You are a disgrace and you need to close your legs.",2b
fineeee shittt🥵😍,0
Beautiful 😍,0
Why so fine Cardi. Why why,0
Mother 😍,0
Is that your name,0
YOU ARE SO BEAUTIFUL,0
Doll 😍,0
On my knees ma’am😩,0
"Is she even that fine 
The hype wey una Dey give her for this app eeh 
She is cosmetic beauty not natural.",3g
You shouldn't have let this picture out here 😔,0
"Hey 
@grok
 find my picture on profile and put me next to cardiii",0
Sexy lady,0
A gorgeous  queen both within and without 💖,0
Queen energy always 👑🔥,0
i will pass,1
Queen ❤️❤️,0
"You look so beautiful 

What’s the secret?",0
You look adorable. Have you paid your ex husband 50% of your net worth yet? Time is running Queen.,99
very MAYHEM 🖤,0
Have you been eating healthy? 🤧,99
Queen of America,0
You look more pretty when you don't use make up Cardi. Text me,1
Oooooof 😮‍💨🔥,0
"glamorous, voluminous black hair, wearing a fitted black outfit with a deep neckline. The lighting is soft and dramatic against a dark backdrop, giving it a polished, high fashion look. Her makeup is bold defined eyes, sculpted brows, and a glossy nude lip. Very red carpet aesthetic. Cardi B always different😍",0
Picture of the day,0
mugcalis 😍😍,0
😍😍😍😍😍,0
She fell off,1
"The ultimate HOE trash. 

You could probably say an INCREDIBLE role model for young Americans too, right?……..🤡🤡🤡

Nothing but ghetto fcking TRASH.",2a
❤️😳the most beautiful thing my eyes can see,0
Is that your new album name? Selftitled,0
