Reply,Code
Looking so beautiful ❤️,0
Which ex? The dog zapper?,0
And why you had the need to tell the world your ex DMs you? His dm was probably the most normal average dm,1
"A text from one that put you into therapy, and one that got you out.",0
The world is feeding you great podcast topics 🤭,0
therapist needed their job back and found the perfect partner in crime,0
Therapist finally accepted the cheque. They are plotting on you,0
"Is it just me that is bored about her & the ex stories. The amount of time she tells the world about her ""ex"" is just crazy. Seems like ur the one who hasn't moved on

You bring ur pvt life on the net for everyone to comment & when ppl gossip, omg it's so tuff being a streamer",1
Surely that means you’ll stream CS today to Mae it a good day right?!,0
"My math is wrong but 

1 in 1,918,440,00",99
"Probably a coincidence but imagine if they're working together. Your therapist remembered you're loaded and have an ex that could do enough damage to get you back in their office.",0
Maybe they just want to re-end on good terms Rae.,0
dunno but im sure if its connected they know your on to them now,0
Sounds like you need to change your number lol,0
They must have seen that your playing tft.. and see it as cry for help... LOL,0
isn’t dating hassan piker a worse omen?,1
"new dlc coming up, i guess",0
They saw your master baker and were like hmmmm was like I miss this.. therapist was like oo trauma paycheck ovs,0
the therapist clearly sensed ur ex reached out and said Oh Hell Not Again,0
Are they straight and opposite sex of each other? They could be VERY familiar with each other.,0
Having therapist reach out to you is weird unless it has to do with records or some other professional means,0
"Dousing rods connected, don't dig under that 😂",0
And a Therapist?! xD WTF Never have I ever heard that.,0
god is testing you to see if you learned a lesson from the last 5 years or if you're still the same person,0
They saw the pic of you serving cake at Master Baker,0
"My whole 2026 has been one big bad omen, I feel ya on this. =*(",0
"Your therapist felt a disturbance in the force",0
It’s okay Valkyrie I’m sure Kratos and Atreus aren’t trying to fight you again,0
Maybe the ex is talking to the shrink now is why lol 😆,0
This girl loves telling the world any sort of drama that comes her way.,3b
"An ex and a therapist?! What a combo, id imagine its master baker related? Lol",0
🤣 I think your therapist is a Jedi... they felt a disturbance in the force... 😅,0
Create a group chat. Introduce them both to each other. Leave the group chat. Problem solved,0
imagine hitting up your ex and she makes a public tweet about you 😂😂😂,1
He was going to the therapist and mentioned you and then they plotted to ruin your day together,0
It seems that your old therapist has a very good sixth sense,0
That's happened to me 🤣  I ignored the ex and spoke to the therapist about it like what!! WHY NOW?!,0
"5 years of peace destroyed in 60 minutes. Your Guardian Angel and your Sleep Paralysis Demon clearly just started a podcast together and you are the first topic.",0
is the mercury in the gatorade bc what is that timing,0
oh i hate that..saw someone else comment this but put them in contact with each other😂,0
That Therapist has amazing intuition 😂,0
Leave them both on read.,0
":: In either case, let's hope you learned something since the last time 😅",0
I could understand the ex's timing but the therapist is just wild,0
i checked my calendar and today is 'text rae day' the rest of them are probably coming later no need to feel weird all normal,0
"Did you all talk about the weather
",0
Ex definitely texting you to leave him the f alone,3d
Is this the jungle hair ex? 😂,0
It's like two paths of temptation presenting themselves,0
"Those are going on a vacation and leaving the internet words. 
Vlog the vacation away from stream. Spend time and go be an Aunty. Dont test the omen.",0
Lol life is full of synchronicities. Its all about how we take them in,0
Wait but.... who messaged first? 😂,0
"What a crazy coincidence!! Also, weird that a therapist you haven't spoken to in 5 years messaged you. That's more strange than the ex tbh. Good luck Rae!! Will be a good topic for the next Wine About It episode tho",0
Still… ex + therapist in the same hour is kind of a plot twist 😂,0
All i will say is an ex is an ex for a reason look forward not back,0
They wanted to congratulate you on the mario party win,0
"This could be a good topic to discuss on your podcast Rae lol 🤭",0
They are obviously working together and you should not touch that with a 10 foot pole,0
this kind of thing happens to me a lot I feel and it's always people who had no way of interacting with each other,0
Nah you should definitely block those. Why would those people be messaging you out of nowhere? You’re probably better off ignoring that,0
"Is it the ex that said you have great jungle hair 😵‍💫",0
One contradicts the other since I’m sure the therapist heard about the ex. Don’t fall for the trap and listen to either of them. “New phone who this”vibes,0
They seen the Master Baker clips lmao.,0
"LoL 
@Valkyrae
, how come you got messages from your ex and therapist, just soo happend to both messaged you today, that's such a coincidence 😶🫥😹
All jokes aside, i hope that you are carefull with whom you will respond (and i ain't talking about therapist) ☀️🌼🌻
#Valkyrae",0
"The therapist felt a disturbance in the force when your ex messaged you. 😅🤣",0
"Damn, ur ex is seeing ur therapist and they brought you up in session.",0
Hes been working with your therapist 😂,0
Could be a good omen 👀✨,0
"Nah, you'll gain a good story from this in a year or two",0
An ex probably wants money or hanging of your fame....but a therapist....most suspicious,0
"Them mfs def have motives...  I know it, I just cant prove it",0
i had it happen last year. two friends i hadn’t talked to in years messaged the same week. one showed why they were meant to be gone. the other is still my friend now.,0
Reply only to your therapist please 🤣❤️🫶🏻,0
I had something like that happen to me yesterday am I cursed too? 😂,0
they're in cahoots,0
"It's just a reminder of the past, good or bad, but a way to remember how much better off you are.",0
"They both saw the clip with your cheeks out.  One wanted to get back in, the other is making sure you're not traumatized xD",2b
now I wanna know what possible reason a therapist would have to message you after 5 years. 😭,0
Recommend the therapist to the ex so they can talk to each other and leave you alone lol,0
"That’s not a bad omen, that’s the universe giving you the poison and the antidote at the same time...",0
Depends on which one you answer first.,0
Or a good omen if you look at it in the way that you didnt need them for the past 5 years alreadt,0
didn't you close up with your exes? why would you still let them text you?,0
"Universe really said let’s run it back but make it awkward😭 
ex and therapist in the same hour is crazy",0
Look im sorry i texted you. You didnt need to post it all over social media Rea... its not that serious. Next time I'll double check with your boyfriends boyfriend first. Jesus..,"3a, 3b"
Dont reply. Think they spoke about you before they decide to pop a message across,0
"Uh-oh, GoogleDoc incoming, all about valyrae cheating on Hasan with her ex - encouraged by the therapist  💩💀😂",0
"Universe sent the fire and the fire extinguisher in the same hour, what you do next is entirely up to you.",0
"what are the chances of your ex took your old therapist?",0
"Do you really think anyone gives a shit? You are getting old, your posts come across as Facebook mom posts now.","3g, 3b, 3c"
"timing is everything i guess. had similar stuff happen before where it feels like the universe is trying to tell me something

my ex reached out after 2 years and it was just a huge mess

anyway, been thinking about how these kinds of coincidences can be pretty thought-provoking - my DMs are always open if u'd like to chat about the weirdness of life sometime

but no pressure, just found it interesting that you brought this up now",0
"Your cheeks were out the other day, you already know what their intentions are","3g, 2b"
"Ex and therapist same hour after 5 years? The universe is cooking up a plot twist  Run or record the episode?",0
Was about to say oh wow 5 years but then i realized u pushing 40,"3g, 3b, 3c"
Maybe that was realized what he lost… and wants to make amends. Or maybe you know your like 43 valk it could be time to settle down and do a family,3b
"One to reopen things, one to help you process it… interesting timing💀",0
some shit abt to go down,0
"That's the universe's way of saying ""time to close those tabs for good.""  Hope it leads to some good laughs (and solid podcast material) rather than drama!",0
"No, don't feel so, look deep into the supernatural and you will understand something great",0
Crazy lol,0
Your ex and a therapist in the same hour? Universe said handle your business immediately.,0
"Universe said: ‘Here’s your past trauma… and the solution in the same hour’ 😂
Therapist first, ex on do not disturb. Protect your peace queen!",0
"The nice part is if any guy tells you to go back into the kitchen, you have proof why that's a bad idea!",0
"That’s not quirky or cute, it’s just sad privileged incompetence. Stop turning basic fails into content for clout and get some actual life skills, girl 😇","3a, 3b"
u had salt and a dream 😭😭😭,0
there was a little bit of ice cream in the salt,0
the whole stream i was screaming at you to put the salt down,0
The fact you put that much salt is crazy lmao,0
Also u forgot to end stream it was on for like 10minutes😭,0
"Maaaaaybe taste as you go from now on lol",0
"Chat, is this what a true girlfailure is?🤔","3a, 3b"
The way Rage was copying u the whole time but had no idea what u were doing😂,0
Omg what is up with all the comments. I've never really checked rae's comments just liked and scrolled kinda deal. I know lots of drama rn but some of y'all are weird and demanding af. Go outside and leave the phone at home.,0
It’s only day 1 keep trying 👍🏻🫣😂,0
Nobody said the main character had to be the good guy. Sometimes there is a twist and the main character is a bad ass villian and all around them fall as they walk away unscathed.,99
Lol. Really appreciate you trying something out of your realm and comfort zone 👏👏👏 not a easy thing to do,0
"Nothing lessons can't fix or a personal chef🙂 ⚡️✌🏼",0
"@qtcinderella
 new content idea: teach rae how to cook/bake.",0
I just loved the way you refused to taste anything lmao,0
