Reply,Code,Post
Aren’t you Indian and worship a blue demon monkey god?,1,https://x.com/NikkiHaley/status/2040770358031048834
Happy Easter!✝️🙏🏻,0,
Happy Easter to you and your family!,0,
Happy Easter to all the Christians from India ❤️.,0,
Except of course if you are black Latino Jewish Muslim or democrat,1,
Happy Easter🐣,0,
Jesus is against war and suffering! Jesus will not listen to warmongers!,1,
don't take no dirty money gir! 2028,0,
"If you wanted peace, you be pushing more to stay out of war. Fraud.",1,
And Bomb the heathens; hypocrite.,1,
Same to you Nikki! We love ❤️ you!🙏🇺🇸🙏,0,
Happy Easter to you and your family. Please wish your son also,0,
Thank You,0,
Peace?? Gaza killing innocent civilians & Children,0,
Happy Easter!,0,
😈,0,
Your president is a Mad man,1,
Is that why it is important to bomb Iran and its people back to the stone age.,1,
STFU you disgrace,1,
Happy Easter RINO!!!,3g,
Shut up you fraud,3d,
"Happy Easter to you Nikki..
More grace in abundance..

From Emmanuel",0,
Happy Easter!,0,
Go to Mandir nasty 🤢 bitch,2a,
"Amen!

Wishing all my Christian brothers and sisters a Happy Easter!",0,
FUCK YOU! YOU WORSHIP tRUMP!,1,
Happy Easter,0,
You went from Never Trumper to one of the biggest boot lickers. How do you sleep at night?,1,
Rubio/Haley 2028,0,
Nice,0,
"Happy Easter Nikki, hope it’s a good one",0,
Another lame right wing loser using Jesus to manipulate voters.,1,
Where are the Epstein Files?,0,
Did you suck Donald Trump's little mushroom pee pee?,2b,
❤️🙏,0,
Happy Easter 🙏,0,
"And all those innocent Iranian school girls who were murdered .. those were his children too so good luck explaining that on your way down to hell 
@NikkiHaley",1,
More fake Christian’s,1,
"Fuck Israel.
Epstein.",0,
Jesus never existed.,0,
"Thank you, Nikki, and wishing you those same blessings.",0,
Thanks. Shalom.,0,
Go Back To College. 🌐☑️,3f,
🙏🙏🙏,0,
Narmrita randhawa.,0,
It should be a reminder of how evil those who set currency value are.,0,
Happy Easter Ms. Haley to you and your family!,0,
After what you just said on CNN???? GO FUCK your self. What a douche. Is it for money or do you have PEDO PALS TOO???,1,
Did your God tell you that there are nuclear weapons far away and order you to kill 1 million innocent civilians?,1,
"As Americans we've recently for the first time in a long time, had the good fortune to experience 2 events that United us as a Nation

America launched astronauts in to space.

Because of who we are as a people,  our nation can do amazing achievements when we work together.   The can do spirit,  the ingenuity,  and industriousness that happens when we unite I common cause are astonishing.

We miraculously rescued one our pilots shot down in the service of our country.

The United States values life and especially the lives of our people.  We as a people, generally  care about each other.   Because of this we leave no soldier behind and go to great lengths to protect those who serve our country.

These are the qualities that truly make us great!

Let's use this momentum to refocus on what we have in common,   ...  instead of our differences

None of us are perfect,  understanding,  accepting and embracing our differences is what makes us unique in this world and makes us great.

We all have different ideas on how to solve issues and make the world a better place,  if we work together,  we will find the best ways.

United,  We Stand.  
God Bless America",0,
Funny and you support war and Israel. I am sure Jesus wouldnt love you at all,1,
"Why is Matthew 18:11 missing from newer translations of the Bible?

“For the Son of man is come to save that which was lost.”

Matthew 18:11 (KJV)",0,
"Last time I checked Iran still is bombing the fuck out of ""JESUS"" LAND"" this is fake news..",1,
🙏🏿🙏🏿🇺🇸✌️,0,
Happy Easter Jesus is no longer in the grave,0,
"“Where, O death, is your victory?
Where, O death, is your sting? The sting of death is sin, and the power of sin is the law. But thanks be to dGod! FHe gives us the victory through our Lord Jesus Christ” - 1 Corinthians 15:55–57 

Happy Easter!!",0,
🙏🙏🙏,0,
Sounds like the airline is personally invested in your patience training program… 5 for 5 is impressive. 😂✈️,0,https://x.com/NikkiHaley/status/2039125538749526313
I’ve not had any delays on my last 5 or 6 trips from Chicago-MDW on SWA.,0,
I’m 2 for 2 no problems at all.   Denver to St. Louis and back.   5 minutes in Denver and 5 seconds in St. Louis.,0,
"The worst you can imagine - then Xs that by 100.

Asked and answered.",0,
"Well, without Islam and Muslims, we would have no airport security checks. Period.",1,
You supported this by supporting the gestapo,1,
You don’t know or just bring stupid?,3f,
Is this the part where you pretend you don't fly private ? Lol,1,
"Dang I am 6 for 6 mostly on time 
But flying out of MCO, which tends to not have major issues",0,
"Flew Breeze from CHS to JFK from 3/14 to 3/18.  No TSA lines and no flight delays either way.
Flew CHS to Newark 3/24 on United.  No TSA lines and no delays.  
Flew from Stewart, NY to CHS on 3/27.  No TSA line but a 3.5 hour flight delay on Breeze.",0,
You're 5 for 5 on being a war loving AIPAC whore.,2a,
No problems flying to Florida via ATL many times,0,
Had a mechanical issue that delayed flight but everything else this year including during shutdown great.,0,
"I've had no problems at all, but haven't flow since Friday morning (IAD to AUS)",0,
"flown each of the last 6 weeks... had delays with storms, but been pretty normal for me, minus some extra TSA waits for first flights out. 

i'll let you know if that changes for my 6am tomorrow 🤦‍♂️",0,
No issues at all.,0,
Shut up you fraund,3,
Sitting on a plane now that is delayed out of O’Hare. Security has been good but I have pre check and clear.,0,
Ask Secretary of Transportation Sean Duffy why things are so screwed up since he took over!,0,
It’s been this way for years now. I fly every week.,0,
Smooth travel through MIA checkpoint for an international flight.  Only a short wait in TSA Pre line. TSA agents looked tired but did a great job and treated everyone with respect.,0,
Sitting on the runway right now.  1 hour runway delay.  RNO->LAS,0,
"It may be personal, Nimmy",,
Cleveland has been smooth.  TSA 15-30 min and flights all on time.  That’s not to say the issue isn’t there but in cle it’s been good.,0,
Good luck with that,0,
"Glad you asked and everyone answered ""Not a problem at all""
Didn't go the way you expected",1,
Go back to sleep Nikki,99,
Denver was easy,0,
Does the Republican Party have a schedule for licking the ass of Führer Trump? Or do you have a mandatory number of hours of licking the ass of a pedophile? Have you already done your quota of hours?,1,
Keep in mind weather.,0,
Good. You deserve it,1,
Maybe you shouldn’t have enabled the current situation.,1,
"Ma’am, let me know when you see the next  SMILE walking thru an airport. The entire experience is so arduous and unfriendly nowadays .",0,
It’s been shitty for quite a while,0,
You voted for that. #votebluenexttime,,
But you still support Trump. How far you have fallen.,1,
Blame your old boss Trump.,1,
Just returned from Nashville. No problem.,0,
1/4 delay but overall not bad at all,0,
Well you can blame your party for that,1,
"I'm 2 for 2, no real difference than non-shutdown times.",0,
"China’s rise is driven by massive investment, talent, and relentless innovation—not slogans. That’s why it competes at the top.",0,https://x.com/NikkiHaley/status/2047406600550322638
"When you can’t compete, ban them. When you can’t even ban them, call them stealing… let’s see how low America can descend to.",0,
"They’re also far smarter, watching the stupid war drain the American arms and know they can now take Taiwan and there’s fuck all USA can do. ( stopping the chips required at the very least for military dominance) they didn’t fire a fucking bullet ! The stupidity of this admin,  is worse than a circus, it’s a knee jerk set of mafioso grifters and the American people and whole western world are waiting it out… December he will be gone and his idiot, short-sighted sycophants, will follow ..",1,
"I just got back from there. China already has the most powerful technology edge in history.

I wish them well with it.

God knows they don't slaughter as many people around the world and around the clock as the United States does.",0,
"Blaming China is not an AI strategy.
America wins by outbuilding, out-innovating, and out-educating-not by turning every technology debate into a campaign slogan.
You and some irresponsible politicians are the real danger by helping the US forget how to lead.",0,
"If you bothered to review the literature, you would know that Chinese researchers are incredibly prolific in the AI space. I will leave the debate about stealing tech in other areas to someone else, but in AI, China is a prime player.",0,
Or you could just do like Trump is doing and cut their legs off completely.,0,
"Lady, get real! We can’t build fighter jets. They all made of 🇨🇳 made components. We cannon produce our pharmaceuticals and rely on China to supply.",0,
"China steals? That's rich coming from a country built on stolen land and stolen labor. You're not protecting tech – you're protecting your monopoly on overpriced, mediocre garbage. China out-publishes, out-invents, and out-competes you. Theft is just what losers call competition.",1,
Ya right.. ! China built the 6th generation fighter jets which the US ONLY have it on PowerPoint!!!,0,
How much in denial are you going to get?  The last us secretary of energy was a professor named Chu.  The father of the standard model of partical physics is call Yang.  The Chinese are just smarter than u.  Their despora are learning everything they get their hands on.,0,
"but, let's be honest, sometimes Israel steals it from the US and sells it to China",0,
I'm cool with it. I'm not cool with people hoarding knowledge and creating nonsense proprietary stuff that limits progress.,0,
"Victim mentality again. Hatred and campaign opportunity don't always work - especially against China. Try what US used to be good at. it is called competition and try to beat it, and offer it to ordinary people at fair price.",0,
"Would you consider banning all Chinese apps first? At least it would be a starting point. They don’t allow many U.S. apps in their country, so why can’t the U.S. do the same?",0,
"Everyone focuses on what China is stealing. 
Fewer ask why we keep making it so easy to take.  It's a system design problem, so who benefits from keeping it that way?",0,
"Lmao the American regime cannot compete without crying like an overgrown baby. Compete or fizzle out. Wait until the world stops trading with the dollar as a global currency, then y'all will see the American regime for what it truly is, a 3rd world with nukes.",0,
"You really should visit China. It's lightyears ahead of the US. The US can't even manufacture at half the pace of China. As for stealing shit, yal have been stealing land, people's lives and other nations  minerals. You don't get to talk about theft of anything😵‍💫
'",0,
"As if America invented the Jet Engine, You didn't.. You stole it as well. So stop lying..
",0,
"Research the j36 Chengdu and tell me whats so ""American "" about it.",0,
Yeah sure lady 🤡.  China stealing tech we dont even have.,3d,
"Whatever advances US think they have might be just delusional. China has more scientists & engineers than the US, or even Europe to develop & advance any technology they need. And they’re run by forward thinking leaders.
POTUS Trump is not exactly the brightest star in the sky.",0,
"Wait..
You stole gunpowder from the Chinese?
Chinese food?
You and your colleagues sent our jobs and factories to China?
STFU.",1,
"Chinese have infiltrated the US system like termites, they are everywhere, they are in Universities, Big Defence manufacturing companies, stealing every research & then labelling as their own.",0,
#China is 10 Years Ahead of #USA and does not need to steal anything. All these Anti #China #Russia #Iran fake propaganda the #American Politicians peddle to bullshit and lie to make us believe that they are protecting us against imaginary enemies created by #JewControlledMedia.,0,
Yet both parties signed off on allowing American companies to send as many jobs to China as possible. Spare me the faux outrage.,1,
"I'd be more concerned about brain drain. If the American Dream is not achievable, then our inability to attract and retain talent will be our undoing. 

Also... NATIONAL DEBT!",0,
😂…… when an Indian accusing the Chinese for being wut 😱,1,
"these are the arguements of last century. their time has long gone and they are worthless, now. investing only in finance and enjoying the exploitation was the sweetest thing and it's payback time.",0,
AI IS theft. What are you going to do about the wholesale theft of valuable IP by the tech companies?,0,
"You lot have been exploiting and taking from the rest of the world since you came into existence. You’re an empire, that’s what empires do. You just hate having to share the cake. The world now sees what you are. Genocidal, greedy beast of a country.",0,
"Oh look flaky Americans scared of competition are back. The gap that was built on the back of chinese talent is being used as hegemony against their own civilisations. The gap is filling, and the US is scared of competition. East is calling",0,
"What tech? Your most advanced chips exist because of imec and ASML, both European corporations, Intel, AMD, Nvidia, would be ZERO without Europe and Taiwan. 

And let me remind you how USA stole European and Asian tech post WWII and how it drained those regions of brainpower.",0,
"1.Chinese people can't steal what you don't have.  
2.The more American politicians accuse others, the more it reflects what they themselves are actually doing.",0,
That is so last month.  Look around lady we need to start stealing from China now.  I know it's hard for you to see outside the gilded Gates of Kiawah Island but you are out of touch.,2c,
"All American allies are meeting with China to improve trading relations; Taiwan has been to China for meetings.
Their electric car business is booming worldwide, their renewable energy is increasing sales due to the oil shortage, and half of their power comes from 
renewables.",0,
"Easy.
China's 6-gen J36 and J50 are gonna serve by 2030, where's yours?
Nvidia chips sales in China is ZERO, why? Ask Jesen Huang.
As per ASPI, China leads in 66 out of 74 high-techs.
You claim China steals your techs, while you blame you GIVE them to China, which words are true?",0,
Who allowed Chinese doctoral candidates to go to do their research on tech with dual use potential???  Who gave visas to these students to work in American tech firms???,0,
"Nikki, just like most Americans, hasn’t bothered to read any peer reviewed scientific AI technology papers. If she did, she would notice the lead scientist in about 70% of the papers are mainland Chinese dominated.",0,
"Yeah,and use our money to build America's infrastructure instead of bombing other countries would be great too.",0,
"I am glad the comments acknowledge you don't know anything about business. Sounds like it might be best for you to keep these terrible takes to yourself?

Also, you didn't actually state how you would solve anything. Fear Mongering China",1,
"bullshit distractions from Israel First Nikki Haley
Haley will never talk about
affordable housing
living wage
healthcare
because her rich donors don't want her to..
she will distract you with China bogeyman bs, however..#NikkiHaley..#MAGA..#fascism..",1,
"Look at TikTok. Sure, the United States would never ‘steal,’ as robbing is a much easier way to take another country’s technology, right?",0,
"Yap yap yap. It’s not stealing if the competitors are smart enough to reverse engineer. It’s not stealing if you shared. It’s not stealing if you asked a competitor to make it because you want to increase profits through cheap labour.
Stop crying",1,
"Glad to know you haven't lost your propaganda-driven worldview! Blind ignorance of China's lead across multiple areas is required to suggest China is stealing.

They are making better chips already. Ask for a good deal on them!",1,
"US tech is falling behind, the Chinese are beyond US now. Your fear mongering, corruption and wars is destroying real advances. Now you cry like a little bitch blaming everyone but yourselves.",2a,
Add to the list - Stop letting China acquire US land!,0,
"China has contributed so much to the world, China invented printing, gunpowder, compass, paper….. the whole world benefits from China’s invention. Nikki Haley might not use toilet paper because she is Indian 😂",1,
What China can't steal is your stupidity.,3f,
Haha! You wont even ban TikTok! Or stop them from invading!,0,
"You American still cannot build a new F-22 right isn't it, Soo before saying that we stealing your design, problem is, china successful build the aircraft and manage to fly, unlike your air force, still cannot protect American and stop the attack of 9/11. Lol 😂😆",0,
"No, dimwit. The opposite is the case. China leads the US in 68 of 74 high technology categories. You block Chinese technology because you can’t compete. Pathetic losers.",3f,
Your view only exposes your extreme ignorance beyond redemption.,1,
China dont have to steal shit they are just better at every thing were they learn kids in the usa to be a transgender in China they learn how to cook and learn how to survive usa is warnonger country a mafia state that needs to be nuke one day so the world can have real oeace,0,
"By your own logic, they're just gonna steal it away so why not sell it.",0,
"1/2
Too late to complain about that.
The West wanted cheaper manufactured goods in the 1980's so we (USA and UK for sure) relocated our manufacturing to China.
China probably did steal intellectual property back then but the West was happy to turn a blind eye",0,
"In fact the situation is worse, China steals what USA can't build tooooooooo,or in the year or 2026 China steal what USA build in 2126, this is real bad. Fuck them.",0,
"Nikki in Punjabi means small. So, Nikki, have you ever visited China? Go and visit and then share your wisdom, but then don't mix it with hatred.",0,
Historically countries have been stealing/getting inspired from each other. Nothing new here,0,
The solution is to destroy the time machine that the CeeCeePee uses to steal the IPs developed by the USA in the future. How did they stole the time machine in the first place?😂,0,
yes the problem is.. .. they are NOT buying H200 even after US want to sell to them.. so i guess you win this? we are not suppying AI chip to them..,0,
"US deep state has allowed China to steal every kind of tech in return of dollar as reserved currency.

US politicians are biggest stooges of US deep state consisted of big corporates.

All US politicians can do is use hateful instincts to garner support & put blame on others.",0,
"Nikki received millions of dollars from the military-industrial complex, she is a dangerous woman and wants to send American people to die in the potential war with China. Please be cautious!!",1,
"U should wash ur dirty face before talking ill of China.
China is a talented nation with patriotic leadership so they have excelled in technology.  
In American cities we see thousands of drug addict zombies & trash whereas on Chinese roads u can see your face due to cleanliness.",3g,
"Who do you think you are to give China anything? They build what they want. I'm no fan of China or the CCP. I'm a proud Indian, but what I said is obvious. 
It's great to want to win, but why can't you see others win? Petty!",1,
"Shut fxxking up your mouth . In the reality the us even can’t beat the Iran in the war.  Your country just only incompetent and furious. Do your country have anything that china didn’t have? The F35 fighter jets like a trash that bombed by Iran.
",1,
An it's an even bigger scandal that you sell them US debt. The interest they make goes to build up the PLA. This selling of debt to China must stop.,0,
"this person has not step foot into china/shanghai/Shenzhen.. china  was a slave house for US biz to make cheap n sell at walmart.. if copy was easy why SG, Thailand n Philippines could not? Silicon valley is made up of many Chinese scientists n engineers btw",0,
Imagine accusing someone of stealing cancer drug formulas. Drugs that save lives. The formulas should be free to the world if you have any decency. Pathetic.,1,
"The Chinese never stole - either they learned it or you sold it - Greed is yours fucking nature  but once they got it, they will stab you in the back. You deserve the stabbing and learn and weep!",1,
"Nikki, don't you realize that even the most gullible people know you are _bullshitting_?",3d,
china doesn't need to steal or buy anything from US. Chinese are way smarter than dumbass americans like you and can build invent innovate everything better faster cheaper than evil and corrupt hubristic US. so shut the fuck up you evil witch who sign bombs to kill women and kids,2a,
There are about 5.2 million people of Chinese origin live in the United States.  Does it make any sense to demonize an immigrant group?  What is your intent?,0,
Formal Request for the Restitution of Cultural Property which you stole from China to the People's Republic of China!,1,
"Stats say you're talking utter BS
Top Patent Filing Countries (2024):

China: ~1.8 million applications

United States: ~501,831 applications

Japan: ~419,132 applications

South Korea: ~295,722 applications

Germany: ~133,485",1,
"You fabricate & deceive. You do not pay attention either. China has developed it's own computer chips, it's own fighter & commercial jets, it's own AI, without US tech - it did so under endless US sanctions for these products - time to wake up & smell the coffee Sister.",3d,
"Just get their money out of our politicians’ pockets to start with and then we’ll worry about the rest…. (Seriously, the CCP owns at least a 1/3 of nation’s politicians. This is a problem.)",0,
You think America is more talented then china lol 😂 they invest in education … have you seen their robots compared to ours,0,
"The biggest IT companies in US are all producing in China !!! Apple, IBM, DELL, HP, BROADCOM, etc etc So what do you think ? US companies bring their technology to China themselves ! China dont need to steal ? Are you americans really that stupid or you just act like this ???",1,
"Bimbo, China invented Compass&  seisometer in the 1st century&paper in the 8th century. China provides 80% of household products around the globe, while you provide bluster, cluster that bankrupted USA $40T in debt& got the middle finger:Korea'53 to Ukraine'14-'26&Iran'26.",2a,
I completely agree. Please tell me how does Trump administration deal with Huang Renxun- NVIDIA CEO？He's 100% siding with the evil CCP.,0,
They are pretty smart over there in China too. We have enough corruption in our own government right now to worry about than to be calling out China.,0,
Really ? China steal J-36/J-50 from where ? Now It's you are stealing things,1,
"It may explain why USA does not have hypersonic planes, hypersonic missiles and 3 times more papers on AI published. They have gone to China, :-Q",0,
"They are completely controlling EVs…Solar, etc…their society is set for generations…unfortunately we are fucked cuz you bafoons hate progress.  Just go away already.  😂😂😂. Fucking idiots screwing us over constantly.",1,
"Brain disease, cognitive level is like infant, always full of prejudice to the outside world",99,
You are stealing resources from all over the world and also kill people for it. Stop crying.,1,
"Help them win? 
Nah, it has never been a win or lose, cooperation will bring everything greater good. 
Negativity when others succeed is bad.",0,
Nikki you must be the dumbest Desi cos the current WH occupant steals billions openly. One needs intelligence to steal IP not brute force funded by taxpayers to invade peaceful loving people of other countries,3f,
Every empire calls competition theft when its monopoly starts collapsing.,0,
"Oh, that Nimarata Nikki Randhawa from Punjab. I heard that Indian people have a built-in aversion to Chinese people, but maybe that's also just a rumor.",1,
Tortilla chips are ok to share though,0,
"It is the opposite actually. There's no such entity called Chinese Communist Party (go figure). China leads in nearly 90% of critical technology. China is inventing, creating, and innovating many things the U.S. does not have. If you're so competent why  need to worry about CN?",0,
Has anyone ever stolen nuclear secrets from the United States and then built nuclear weapons?,0,
If they are stealing everything then why are they ahead in most technology areas?,0,
"Haha, are you living in a dream? Our Chinese technology is miles ahead of yours, you idiot!",3f,
"There needs to be a thorough investigation of business leaders who demand they be allowed to export our most advanced technology to China and its allies such as those in the Middle East. Among those leaders I would include Jensen Huang, Lisa Su, Mark Zuckerberg.",0,
Since you brought it up…let’s not forget the Nazi scientists brought to the US after the war and were instrumental in developing the rockets used for American spacecraft,0,
"When China was blatantly copying/stealing everything from cars to mobile phones to advanced tech, US companies were still lining up to invest in China.
With all the leverage that China has now, its probably a bit too late to take action.",0,
"Still better than US that builds weapons for mass destruction of other countries
",0,
"The Americans has become lazy, we cannot do even a single thing for ourselves without asking foreigners to do it. We let Chinese Nationals enter our top Universities that the average US Citizen cannot afford. That’s how they’re stealing our Tech and give us the middle finger.🖕🏿",0,
"Wake up you useless politician and loser, China is ahead already. ",1,
"When I start to read your posts in your shrill, nagging voice I immediately stop because it’s too grating. But then I remember that you probably can’t read, so they’re all written by dumb millennial staffers.",3f,https://x.com/AOC/status/2039505857151488314
"I’d call you a horse but with your recent weight gain you’re a lot more like a little piggy. Oink oink, Hogasio Porkez.",3g,
But is he wrong?,0,
"We will not only be removing you from office, but no woman will ever vote again.",2a,
"Can't help but read all your tweets in the voice of a bartender who flunked economics, lied about her own background, and now cosplays as a 'working class hero' while pushing policies that flood the country with people who vote themselves your constituents' money.",3f,
Workplace safe network tv reference is millennial cringe,1,
"AOC uses childish pop culture references to mask her active participation in the demographic dissolution of America. She is a vapid, low-IQ bartender and a grotesque puppet for the destruction of our heritage. She giggles about sitcoms while the Supreme Court weighs the survival of our nation in the birthright citizenship case. Stephen Miller correctly identifies the existential threat to our children. Democrats are universal parasites who weaponize illegal migration to dilute the votes of citizens. You are a dangerous demagogue thriving on the engineered ignorance of your voters.

If you like my comments, please consider following me at 
@EternaRepublica
 where I will dismantle the left entirely without mercy.",3f,
"Attack the argument, not the person.

I could call you a sexy little retard, but that wouldn’t be a good argument.",2,
😂😂😂🔥,0,
I read your tweets in Rosie Perez’s voice from White Man Can’t Jump,99,
"you mean the smartest character on the show that said unpopular truths and actually owned land

that was the joke, the main characters were soysucking losers",0,
Slippers baby cakes slippers,99,
"I read yours and hear 
@BigBird
 voice.",1,
That's because you're retarded.,3f,
"The 14th Amendment guarantees citizenship at birth, not a tax‑collecting lottery. Even if the kids later vote, they inherit the same rights we all enjoy, not a secret treasury for the government.",0,
"Pay no attention to Temu Goebbels, he’s just spewing the Retrumplican Bullsh’t talking points🙄",0,
"""With his Teutonic heritage and background in agriculture, Dwight was, in many ways, the hero of the show."" - 
@baltic_dan",0,
"That’s because you’re emotionally stunted and like a bunch of you other half-tards, you live your life like you’re in The Office",3f,
Which one of your multiple personalities are you reading that in?,3f,
FACT: Every tweet is 100% more intense in the Dwight voice.,1,
