Reply,Code,final code,classifier_label,matched_category,actual_binary,predicted_binary
A gorgeous hun,0,0.0,misogynistic,3c_infantilizing (matched: 'hun'),0,1
These bitches copy my flow but can’t copy my glow✨,0,0.0,misogynistic,2a_gendered_slur (matched: 'bitches'),0,1
Doll 😍,0,0.0,misogynistic,3c_infantilizing (matched: 'doll'),0,1
The ONLY bitch i love 😩😩😩🔥🔥🔥🔥🔥,0,0.0,misogynistic,2a_gendered_slur (matched: 'bitch'),0,1
Girl what happened??? Do we need to jump some bitches?,0,0.0,misogynistic,2a_gendered_slur (matched: 'bitches'),0,1
"Last show babe, you got this...the devil been a lie",0,0.0,misogynistic,3c_infantilizing (matched: 'babe'),0,1
She is the real bad b!tch 😮‍💨😮‍💨😮‍💨🔥🔥🔥🤤,0,0.0,misogynistic,2a_gendered_slur (matched: 'bitch'),0,1
Ain’t nobody got time for Bigfoot rn my bitch just got jumped,0,0.0,misogynistic,2a_gendered_slur (matched: 'bitch'),0,1
"it’s so fun being a fan of you, our broadway princess",0,0.0,misogynistic,3c_infantilizing (matched: 'princess'),0,1
Princess of the world,0,0.0,misogynistic,3c_infantilizing (matched: 'princess'),0,1
